label,text,description_length,word_count,preprocessed_text,Label_encoded
Psoriasis,"I have been experiencing a skin rash on my arms, legs, and torso for the past few weeks. It is red, itchy, and covered in dry, scaly patches.",141,28,skin rash arm leg torso past week red itchy covered dry scaly patch,15
Psoriasis,"My skin has been peeling, especially on my knees, elbows, and scalp. This peeling is often accompanied by a burning or stinging sensation.",138,23,skin peeling especially knee elbow scalp peeling often accompanied burning stinging sensation,15
Psoriasis,"I have been experiencing joint pain in my fingers, wrists, and knees. The pain is often achy and throbbing, and it gets worse when I move my joints.",148,28,joint pain finger wrist knee pain often achy throbbing get worse move joint,15
Psoriasis,"There is a silver like dusting on my skin, especially on my lower back and scalp. This dusting is made up of small scales that flake off easily when I scratch them.",164,32,silver dusting skin especially lower back scalp dusting made small scale flake easily scratch,15
Psoriasis,"My nails have small dents or pits in them, and they often feel inflammatory and tender to the touch. Even there are minor rashes on my arms.",140,27,nail small dent pit often inflammatory tender touch even minor rash arm,15
Psoriasis,The skin on my palms and soles is thickened and has deep cracks. These cracks are painful and bleed easily.,107,20,skin palm sol crack crack painful bleed easily,15
Psoriasis,"The skin around my mouth, nose, and eyes is red and inflamed. It is often itchy and uncomfortable. There is a noticeable inflammation in my nails.",146,26,skin around mouth nose eye red inflamed often itchy uncomfortable noticeable inflammation nail,15
Psoriasis,My skin is very sensitive and reacts easily to changes in temperature or humidity. I often have to be careful about what products I use on my skin.,147,28,skin sensitive reacts easily change temperature humidity often careful product use skin,15
Psoriasis,"I have noticed a sudden peeling of skin at different parts of my body, mainly arms, legs and back. Also, I face severe joint pain and skin rashes.",146,28,noticed sudden peeling skin different part body mainly arm leg back face severe joint pain skin rash,15
Psoriasis,"The skin on my genitals is red and inflamed. It is often itchy, burning, and uncomfortable. There are rashes on different parts of the body too.",144,26,skin red inflamed often itchy burning uncomfortable rash different part body,15
Psoriasis,"I have experienced fatigue and a general feeling of malaise. I often feel tired and have a lack of energy, even after a good night's sleep.",139,26,experienced fatigue general often tired lack energy even good night sleep,15
Psoriasis,"The rash on my skin has spread to other parts of my body, including my chest and abdomen. It is itchy and uncomfortable, and it is often worse at night. I am also facing skin peeling.",183,36,rash skin spread part body including chest abdomen itchy uncomfortable often worse night facing skin peeling,15
Psoriasis,The rash on my skin is worse in the winter months when the air is dry. I find that I have to moisturize more frequently and use humidifiers to keep my skin hydrated.,165,33,rash skin worse winter month air dry find moisturize frequently use humidifiers keep skin hydrated,15
Psoriasis,"I have experienced difficulty sleeping due to the itching and discomfort caused by the rash. There are small dents in my nails, which is really concerning.",155,26,experienced difficulty sleeping due itching discomfort caused rash small dent nail concerning,15
Psoriasis,"My skin is prone to infections due to dry, flaky patches. I am experiencing a strong pain in my joints. The skin on my knees and elbows is starting to peel off.",160,32,skin prone infection due dry flaky patch strong pain joint skin knee elbow starting peel,15
Psoriasis,"I am starting to have rashes on my skin. The rash often bleeds when I scratch or rub it. Moreover, I have noticed small dents in my nails.",138,28,starting rash skin rash often bleeds scratch rub moreover noticed small dent nail,15
Psoriasis,"I have noticed that my skin has become more sensitive than it used to be. There is a silver like dusting on my skin, especially on my back and elbows.",150,30,noticed skin become sensitive used silver dusting skin especially back elbow,15
Psoriasis,"I am worried about the constant peeling of the skin on my palm, elbow and knee. I have developed rashes on my arms, which itch if I touch them. All of these are making my life quite discomforting and miserable.",210,40,worried constant peeling skin palm elbow knee developed rash arm itch touch making life discomforting miserable,15
Psoriasis,"There is strange pain in my joints. Also, I have noticed strange peeling of skin in different parts of my body. I am afraid there is something wrong going on with my body.",171,33,strange pain joint noticed strange peeling skin different part body afraid something wrong going body,15
Psoriasis,"My nails have small dents on them. Even my joints have started to pain severely. There is a silver like dusting on my skin, particularly in my back.",148,28,nail small dent even joint started pain severely silver dusting skin particularly back,15
Psoriasis,"The rashes on my skin are not healing. Moreover, I have noticed a sudden peeling of the skin, especially the skin on my elbows and knees. I am really worried about this.",169,32,rash skin healing moreover noticed sudden peeling skin especially skin elbow knee worried,15
Psoriasis,"For the past few weeks, I've had a skin rash on my arms, legs, and chest. It's red and irritating, with dry, scaly spots. I have a strange pain in my joints too.",161,33,past week skin rash arm leg chest red irritating dry scaly spot strange pain joint,15
Psoriasis,"My skin is peeling, particularly on my knees, elbows, and scalp. This peeling is frequently accompanied by a stinging or burning feeling.",137,22,skin peeling particularly knee elbow scalp peeling frequently accompanied stinging burning,15
Psoriasis,"I'm having joint discomfort in my fingers, wrists, and knees. The pain is frequently aching and throbbing, and it worsens when I move my joints.",144,25,joint discomfort finger wrist knee pain frequently aching throbbing worsens move joint,15
Psoriasis,"My skin has a silvery film, particularly on my back, arms and scalp. This dusting is composed of tiny scales that easily peel off when scratched.",145,26,skin silvery film particularly back arm scalp dusting composed tiny scale easily peel,15
Psoriasis,"I have red and inflammatory skin around my mouth, nose, and eyes. It is frequently irritating and unpleasant. Recently, it has got very painful.",144,24,red inflammatory skin around mouth nose eye frequently irritating unpleasant got painful,15
Psoriasis,My skin is extremely sensitive and quickly irritated by changes in temperature or humidity. My nails have developed dents on them. I am worried about this sudden change.,169,28,skin extremely sensitive quickly irritated change temperature humidity nail developed dent worried sudden change,15
Psoriasis,"I've seen a sudden peeling of skin on various regions of my body, mostly my arms, legs, and back. In addition, I have significant joint pain and skin rashes. The rash is spreading to different parts of my body.",210,39,seen sudden peeling skin various region body mostly arm leg back addition significant joint pain skin rash rash spreading different part body,15
Psoriasis,"My genital skin is red and irritated. It is frequently irritating, burning, and unpleasant. There are also rashes in various places of the body. Also, I have a strange pain in my joints.",186,33,skin red irritated frequently irritating burning unpleasant rash various place body strange pain joint,15
Psoriasis,"I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents, which is really alarming. There is a noticeable inflammation in my nails.",181,31,trouble sleeping itching pain produced rash nail little dent alarming noticeable inflammation nail,15
Psoriasis,"Because of dry, flaky areas on my skin, I am prone to infections. My joints are in excruciating agony. The skin on my knees and elbows is beginning to flake.",157,30,dry flaky area skin prone infection joint excruciating agony skin knee elbow beginning flake,15
Psoriasis,"My skin is breaking out in rashes. When I scratch or rub the rash, it frequently bleeds. In addition, I've observed little dents in my nails. There is a noticeable inflammation in my nails.",189,34,skin breaking rash scratch rub rash frequently bleeds addition observed little dent nail noticeable inflammation nail,15
Psoriasis,"I've observed that my skin is more sensitive now than it used to be. My skin has a silvery film, especially on my back and elbows.",130,26,observed skin sensitive used skin silvery film especially back elbow,15
Psoriasis,"My palms and soles have grown and developed severe fissures. These cracks are unpleasant and frequently bleed. Also, the skin is starting to peel off.",150,25,palm sol grown developed severe fissure crack unpleasant frequently bleed skin starting peel,15
Psoriasis,"My nails are starting to have small pits on them. I am worried and don't know what is causing it. Also, my joints pain and there are rashes on my arms and back.",160,33,nail starting small pit worried know causing joint pain rash arm back,15
Psoriasis,"There is a silver like dusting on my skin. Moreover, the skin on my arms and back are starting to peel off. This is strange and really concerning me.",149,29,silver dusting skin moreover skin arm back starting peel strange concerning,15
Psoriasis,"My skin rash has extended to other areas of my body, including my chest and belly. It is irritating and unpleasant, and it is frequently worst at night. I'm also experiencing skin flaking.",188,33,skin rash area body including chest belly irritating unpleasant frequently worst night skin flaking,15
Psoriasis,"My skin rash gets worse in the winter when the air is dry. To keep my skin moisturized, I have to moisturize more regularly and use humidifiers. I am also facing joint pain.",173,33,skin rash get worse winter air dry keep skin moisturized moisturize regularly use humidifiers facing joint pain,15
Psoriasis,I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents. I am also experiencing skin peeling in different parts of my body.,174,31,trouble sleeping itching pain produced rash nail little dent skin peeling different part body,15
Psoriasis,"My skin is peeling in places, especially on my knees, elbows, and arms. This peeling is often accompanied by a painful or burning sensation. I am also developing small dents on my nails, which is really concerning.",214,37,skin peeling place especially knee elbow arm peeling often accompanied painful burning sensation developing small dent nail concerning,15
Psoriasis,"My skin has a silvery layer over it, especially on my back and arms. This dusting is made up of small scales that peel off readily when rubbed. Also, there are rashes all over my body.",184,36,skin silvery layer especially back arm dusting made small scale peel readily rubbed rash body,15
Psoriasis,"My arms, face and back are all red and irritated. It is frequently irritating and unpleasant. My nails have a strange inflammation and have developed small dents. I have never seen anything like this.",200,34,arm face back red irritated frequently irritating unpleasant nail strange inflammation developed small dent never seen anything,15
Psoriasis,"I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents, which is really alarming. Moreover, my joints pain everyday and I have no idea what is causing it.",206,37,trouble sleeping itching pain produced rash nail little dent alarming moreover joint pain everyday idea causing,15
Psoriasis,My fingers and soles have pretty thick skin that is cracked severely. These fractures hurt and bleed frequently. The fractures are itchy and covered with scales.,161,26,finger sol pretty thick skin cracked severely fracture hurt bleed frequently fracture itchy covered scale,15
Psoriasis,"My skin has changed from being less sensitive to being more sensitive. My skin has a silvery coating, especially on my back, elbows and knees.",142,25,skin changed le sensitive sensitive skin silvery coating especially back elbow knee,15
Psoriasis,"My nails are slightly dented. Even my joints are now experiencing excruciating discomfort. My skin has a silver-like powder, especially on my back and elbows. ",159,25,nail slightly dented even joint excruciating discomfort skin silver especially back elbow,15
Psoriasis,"I've had trouble falling asleep because of the rash's pain and itching. The skin on my fingers are starting to peel off. My nails have a few tiny cracks, which is really worrying. ",180,33,trouble falling asleep rash pain itching skin finger starting peel nail tiny crack worrying,15
Psoriasis,"My joints are experiencing an unusual discomfort. Additionally, I've experienced weird skin peeling in various places on my body. I'm concerned that something is wrong with my body. ",182,28,joint unusual discomfort experienced weird skin peeling various place body concerned something wrong body,15
